iso_id,total_population,weighted_income
0a8a88f3-e628-47e8-aa14-a0828f34063b_8min,87753.0,130701.3161145488
0a9108e5-ed16-4b95-b5db-4849a6e08632_8min,61830.0,71838.47087174511
0a963bab-5b7b-48c1-8749-dddc66630d78_8min,91580.0,207722.65449879886
0ab0dd85-9cc4-4694-84b0-79d8aec735cf_8min,198055.0,109303.0344399283
0ac852dc-f223-4a1a-9684-ae79ee8cc06f_8min,141763.0,110240.61884271636
0adfa543-0194-4da2-bad7-0785a486a5a5_8min,130032.0,95489.97065337763
0af5ef43-47b9-473d-b0ae-59ffc3a79c0b_8min,137821.0,84461.19131337025
0b39685b-39e7-4ecf-b0e7-c61156b1afe8_8min,104417.0,94047.36404033826
0b58e83d-d28d-49b1-a752-fe3c11f44c33_8min,225356.0,147856.26695983246
0b71e409-8455-4de7-84bb-3d8606ef4046_8min,105124.0,92157.171635402
0b73601f-a942-4f5a-ab94-88f032430a3b_8min,64648.0,66643.73134513055
0b9bb90f-0870-4bee-8b4a-32e86d140c46_8min,139156.0,90401.1700609388
0bee6838-5ec7-4091-952e-01c9cef96d64_8min,166299.0,89315.05366839247
0bfa65fd-57f0-4b83-8ddf-4f708f527195_8min,162023.0,52704.043617264215
0bfcefbd-b588-4290-a9e8-7350ac458b44_8min,110306.0,64344.714856852755
0c57d64c-fdb1-462e-8b66-a43679716d83_8min,137406.0,90420.24854809833
0cd6f050-1387-4b2b-9298-786692005210_8min,155988.0,105980.5894107239
0cf2ad6c-d6d2-40a3-af28-b2ea8b246af8_8min,66161.0,145337.2300146612
0d13fbab-b23c-4192-8855-c784850de0bc_8min,69251.0,59869.73067536931
0d2e5c67-a06a-4d73-96b4-af07112da244_8min,168419.0,64895.84960722959
0d6f25a9-db2b-461d-a09d-e467abb69933_8min,70163.0,122675.3693399655
0d7bc53c-f1b8-4f41-9737-4408d07ef4b1_8min,185975.0,55359.057937894875
0d82bcac-10f1-4ce6-bc2a-4a8c9c63cdff_8min,82757.0,110049.32492719649
0da2855d-ff9f-4191-8d64-67a6c6ce3b2d_8min,126110.0,114698.85943224169
0e210eb9-57c3-4e82-97db-da39ca8b4728_8min,127199.0,89928.52214246968
0eda324a-8659-4b85-85c2-7e7291004d66_8min,176257.0,149834.11472452158
